age,title,bill_id,bill_number,content
20,2018년도 기술보증기금운용계획변경안,PRC_H1O8W0J4U0J6C1I0E3Z5H2M1V6R9A3,2012941,
20,2016년도 신용보증기금운용계획변경안,PRC_J1D6J0D7Q2V6U1P1F0T3Q4G9X0B7W2,2001172,
20,2017년도 제1회 추가경정예산안,PRC_H1I7U0O6Y0P7C0I9Z5R0V1Y9V3J4C4,2007217,
20,2020년도 농어업재해재보험기금운용계획변경안,PRC_I2X0T0R4B1N6A1O4G3Q5W4B6I3J8W9,2024847,
20,2019년도 주택도시기금운용계획변경안,PRC_S1J9E0P4V2I5E0O9Q5T2P2O9Z6L6V7,2019995,
20,2018년도 신용보증기금운용계획변경안,PRC_A1Z8L0X4B0E6G1P0T2X7U0H7T3V1B4,2012935,
20,2019년도 신용보증기금운용계획변경안,PRC_R1R9Y0P4Z2P5F0K9L5E7V5Z8E7U1L1,2020005,
20,2020년도 제1회 추가경정예산안,PRC_R2Q0C0G3X0Q5B0U8S5A9S3K5C2F9P9,2024734,
20,2018년도 공공자금관리기금운용계획변경안,PRC_N1T8K0D4R0L6F1N0O2O8C5Q4U3L6Z8,2012936,
20,2015회계연도 예비비지출 승인의 건,PRC_H1C6U0R5J3X1B1L1A0W9I2S5W8K6M0,2000054,
20,2019년도 청소년육성기금운용계획변경안,PRC_R1Q9I0I4P2A5G0T9Y5Z8A4Q3J3R5D9,2020006,
20,2019년도 방송통신발전기금운용계획변경안,PRC_G1T9N0H4M2H5Y1N0L0C0A5N2H8T8B6,2020010,
20,2015회계연도 한국교육방송공사 결산 승인안,PRC_D1J6K0W6F3J0F1F5R4C4T2G3B4U0J6,2000605,
20,2018년도 관광진흥개발기금운용계획변경안,PRC_S1F8N0Q4M0D6Q1J0S3L2R1S2Q7M0H6,2012938,
20,2020년도 소상공인시장진흥기금운용계획변경안,PRC_P2S0S0L3L0M5V0T9L3T2D5Y3F9B0J7,2024744,
20,2019년도 중소벤처기업창업 및 진흥기금운용계획 변경안,PRC_T1I9W0S4T2A5K0W9U5T3V1Z9C8L5E2,2019997,
20,2016년도 중소기업창업 및 진흥기금운용계획변경안,PRC_I1Z6N0V7W2O6L1W1T0R6W1P4S0W1T8,2001177,
20,2017회계연도 한국방송공사 결산 승인안,PRC_O1E8X0I5I3H1J1F8M2I3P1Y1K7P9P4,2013873,
20,2016년도 소상공인시장진흥기금운용계획변경안,PRC_E1P6S0C7L2S6C1C1G0D6B4O1P8P6K4,2001178,
