age,title,bill_id,bill_number,content
20,대한민국 정부와 국제적십자위원회 간의 협정 비준동의안,PRC_T1D8L0R6P1Y2Z1Y4V4V9W4M6G4L0W6,2013908,
20,미세먼지문제 해결을 위한 정부대책 촉구 결의안,PRC_H1T8R0F5V2K8E1U4N3J2U5H1B6Y6B6,2013808,
20,2019년도 임대형 민자사업(BTL) 한도액안,PRC_N1P8W0R9D0B3A1B0A1E7I2V5K6E6N6,2015247,
20,1991년 6월 21일 서울에서 서명된 대한민국 정부와 폴란드공화국 정부 간의 소득에 대한 조세의 이중과세 회피와 탈세 방지를 위한 협약의 개정의정서 비준동의안,PRC_K1G6V0C6T1D4M1V7A5B7L2V2S5H8X9,2000245,
20,2020년도에 발행하는 한국장학재단채권에 대한 국가보증동의안,PRC_Q1F9H0P9O0L3M1K0H4L0R5T8B5X4L4,2022308,
20,북한의 미사일 발사 및 정전협정 위반행위에 대한 규탄 결의안,PRC_R1V7X1X2B0Q2M1K1G4B4G1I7K2N5L8,2010577,
20,사법개혁 특별위원회 활동기간 연장의 건,PRC_Y1Q8B1Z2H2A7K1G7T2X3I3K2B8R7Y5,2017818,
20,평창동계올림픽 및 국제경기대회지원 특별위원회 활동기간 연장의 건,PRC_G1Y7X1G2T2B9P1W2D4G7C0W3D3X8K7,2011154,
20,가습기살균제 사고 진상규명과 피해구제 및 재발방지 대책마련을 위한 국정조사계획서  승인의 건,PRC_R1M6T0I7Y0U6U1P3S5C2P2R7Q8W8E2,2000689,
20,2017년도 무역보험계약체결한도에 대한 동의안,PRC_M1E6M0C9J0Z6Z1Y1X0F3Y4I8J8D2R2,2002157,
20,대한민국 정부와 미합중국 정부 간의 국제 납세의무 준수 촉진을 위한 협정 비준동의안,PRC_F1D6F0I6O1X4B1D7E5U7M3L9I3I2G2,2000246,
20,저출산·고령화대책 특별위원회 구성결의안,PRC_P1P6O0W7W0V5H1L8H0H5X4M2X9O3J2,2000694,
20,호남고속철도 2단계 사업 조기 완공 및 목포~제주 해저터널 건설 촉구 결의안,PRC_K1K6B0N9U2X2Q1D8K1Q8J5T7O7G6E4,2002420,
20,국군부대의 「국제연합 레바논 평화유지군(UNIFIL)」 파견연장 동의안,PRC_O1H9H1Z0M1Q7C1D4M4B6P2G8P4G2H5,2022907,
20,대한민국 정부와 사모아독립국 정부 간의 조세에 관한 정보교환을 위한 협정 비준동의안,PRC_M1Q6Y0V7I1T4U1J6Q1L7O1G8D1H1U7,2000873,
20,중미경제통합은행 설립협정에 대한 대한민국의 가입의정서 비준동의안,PRC_Z1Z9A0G2E0Q8P1L0P4N5O3M0N8S9M9,2018518,
20,북한의 미사일 발사 등 군사적 도발행위 규탄 결의안,PRC_A1U7E0D7G0U5T0N9I5Z1G3E3J0B6U4,2007794,
20,윤리특별위원회 구성결의안,PRC_X1D8K0T7Y1X3U1X4P3L6N1D9H3R6Z8,2014437,
20,2019년도 환경노동위원회 국정감사 관련 감사원에 대한 감사요구안,PRC_H2V0F0E2U1B4F1O0Y1H5S2P4S0T5L6,2024624,
20,박근혜 정부의 최순실 등 민간인에 의한 국정농단 의혹 사건 진상규명을 위한 국정조사계획서 승인의 건,PRC_B1F6L1I1K1P7R1J6V4P7X0K1F9F6I5,2003680,
20,소방시설공사업법 일부개정법률안(대안),PRC_S2Y0I0M5E1O4Y1W6X0K4O2W0H1V5J0,2024985,
20,국회에서의중계방송등에관한규칙 일부개정규칙안,PRC_O1X7N1M1D1M3S1T9J1F6Q0Q6B4R7Y4,2010366,
20,북한 제6차 핵실험 규탄 결의안 채택의 건,PRC_V1H7U0A9E0J4Z1W0G3Y9G0F1E9T6I1,2009043,
20,대한민국과 아르헨티나공화국 간의 사회보장에 관한 협정 비준동의안,PRC_Z1H8D1Z2K2S8Z1E3X4I1E2N3J8U5G4,2017850,
20,대한민국 정부와 건지 정부 간의 조세정보 교환을 위한 협정 비준동의안,PRC_F1F6L0I7T1S4W1A6Q1Q9T5B5W0R3K6,2000875,
20,국군부대의 소말리아 아덴만 해역 파견연장 동의안,PRC_S1B7R0T9Z0X5T1U6I5A8F2T0S5S4E7,2009098,
20,대한민국과 슬로베니아공화국 간의 사회보장에 관한 협정 비준동의안,PRC_U1R8A0K6K1T2B1B4O5N3G2K0A8I4M6,2013910,
20,다중이용업소의 안전관리에 관한 특별법 일부개정법률안(대안),PRC_T2M0D0A5G1H4E1F6A0M3X2D0X1Q1O8,2024983,
20,대한민국 정부와 중화인민공화국 홍콩특별행정구 정부 간의 소득에 대한 조세의 이중과세 방지와 탈세 예방을 위한 협정 비준동의안,PRC_H1K6H0Y6I1A4N1Q7N5Z3D0L4G2V9A4,2000242,
20,사드배치에 대한 중국의 보복행위 중단 촉구 결의안(대안),PRC_J1I7D0I3P3Z0G1Q4A4U3H2V1D7A3R4,2006509,
20,국회청원심사규칙 전부개정규칙안,PRC_L1Y7Y1U1X1K3S1Z9W1O5Z3H1G8P1S4,2010369,
20,평창동계올림픽 및 국제경기대회지원 특별위원회 구성결의안,PRC_V1C6U0W7B0I5N1P8T0U8M0F3Q4C1K2,2000695,
20,2018년도 농림축산식품해양수산위원회 국정감사 관련 감사원에 대한 감사요구안,PRC_N1A8Q1Q2X1K3H1W3U4N3X2E2E9L9T7,2017577,
20,중국어선 불법조업 근절 대책 촉구 결의안,PRC_H1I6Z1L0N1H4B1J6R2E1Q3D5N8P8G4,2002644,
20,4차 산업혁명 특별위원회 구성결의안,PRC_S1I8C0V7C2B5I1V8O5K3S2D1J9Q8Q1,2014555,
20,헌법개정 특별위원회 구성결의안,PRC_E1T6X1Z2M2B8P1N4W1L3W5E3D3S5M2,2004739,
20,1998년 2월 11일 타쉬켄트에서 서명된 대한민국 정부와 우즈베키스탄공화국 정부간의 소득과 자본에 대한 조세의 이중과세회피와 탈세방지를 위한 협약의 개정의정서 비준동의안,PRC_Y1S9Y0L8M2L0V1A4Q3E9O2E2R2P4T9,2022040,
20,대한민국과 에티오피아연방민주공화국 간의 소득에 대한 조세의 이중과세 방지와 탈세 예방을 위한 협약 비준동의안,PRC_H1K6M0G7O1A4H1L6Y3L3V0J0X5F3E8,2000879,
20,도로교통법 일부개정법률안(대안),PRC_S2R0K0D3V0D4J1H7H3A6G2W4X1L5X6,2024915,
20,2018년도 산업통상자원중소벤처기업위원회 국정감사 결과에 따른 감사원에 대한 감사요구안,PRC_L1U9S0S9K0D4R1U3T3S4B5D1G3C9J6,2022357,
20,정치발전 특별위원회 구성결의안,PRC_I1M6X0N7N0G5F1Y7W3A7A0B7L5Z3A5,2000692,
20,국군부대의 소말리아 아덴만 해역 파견연장 동의안,PRC_Z1Z6A0H9H1K9R1X4M5P9S3J5Y3K8R7,2002320,
20,식량원조협약 가입동의안,PRC_F1N7T0U9G2B6R1O5Z3J1J0R5O9U9R7,2009601,
20,미세먼지 대책 특별위원회 구성결의안,PRC_X1R7L1D1M0O9C1Z1R4E5S3S5M5Q0R1,2010097,
